Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
0,160000000,15.9999999947771,1,14
0.01,159999990.00002,15.9999999947751,2,15
0.02,159999990.00002,24.9999820090193,3,14
0.03,159999980.00004,33.999964001914,3,16
0.04,159999980.00004,33.99996400191,4,15
0.05,159999970.00006,42.9999459807334,4,17
0.06,159999970.00006,42.9999459807314,4,18
0.07,159999960.00008,42.9999459807294,5,19
0.08,159999940.00012,51.9999279807214,8,18
0.09,159999930.00014,78.9998566989694,8,20
0.1,159999910.00018,78.9998739804996,11,23
0.11,159999890.00022,105.99981998049,14,21
0.12,159999880.00022,123.999784698633,14,22
0.13,159999880.00022,123.999801980169,14,23
0.14,159999880.00022,123.999801980167,14,24
0.15,159999860.00026,123.999801980163,16,24
0.16,159999860.00026,141.999765980231,16,24
0.17,159999850.00028,141.999765980229,17,26
0.18,159999840.0003,150.999747980219,19,30
0.19,159999790.0004,168.999677417131,24,31
0.2,159999780.00042,213.999621979917,25,33
0.21,159999750.00048,222.999603979907,26,35
0.22,159999750.00048,240.999550698432,28,37
0.23,159999720.00054,249.99954997996,29,39
0.24,159999710.00056,267.999479416882,32,40
0.25,159999690.0006,285.999477979942,33,45
0.26,159999670.00064,294.99945997993,36,48
0.27,159999650.00068,321.999371416844,38,50
0.28,159999630.00072,339.999369979913,39,53
0.29,159999630.00072,348.999334698366,39,55
0.3,159999620.00074,348.999351979897,41,58
0.31,159999600.00078,366.999315979889,43,57
0.32,159999570.00084,384.999262698344,44,58
0.33,159999550.0009,402.9992094168,46,62
0.34,159999510.00098,420.999155416776,52,61
0.35,159999490.001,474.999081979835,55,66
0.36,159999440.0011,483.999081979789,59,67
0.37,159999390.0012,519.998958134951,65,68
0.38,159999350.00128,573.998867416469,68,75
0.39,159999290.00142,609.99876085337,72,81
0.4,159999260.00146,648.791109069669,79,85
0.41,159999240.0015,690.998650697899,82,88
0.42,159999210.00156,717.998579416349,84,93
0.43,159999190.0016,735.998543416327,86,100
0.44,159999170.00164,762.998489416321,86,104
0.45,159999130.00172,762.998472134759,96,109
0.46,159999020.00194,843.998275571656,104,112
0.47,159998970.00202,915.998148853167,108,119
0.48,159998920.00214,951.998112134366,113,121
0.49,159998900.00218,987.998056697412,117,131
0.5,159998850.00226,1023.9979846974,120,132
0.51,159998800.00236,1050.99794958394,127,137
0.52,159998760.00244,1104.99780702098,132,147
0.53,159998690.00258,1149.9977343114,137,154
0.54,159998630.0027,1203.99760902992,143,163
0.55,159998590.00276,1248.99755431139,153,169
0.56,159998540.00284,1320.99734118525,154,183
0.57,159998470.00296,1329.99739302979,165,189
0.58,159998410.00306,1419.99730087434,172,194
0.59,159998330.00322,1464.99714174823,183,201
0.6,159998260.0033,1545.99701574829,189,204
0.61,159998220.00334,1581.99696319381,196,214
0.62,159998130.00352,1626.99692503851,202,228
0.63,159998050.00368,1716.9967450385,213,231
0.64,159997960.003839,1815.99647791231,229,244
0.65,159997820.004119,1905.99624678579,240,256
0.66,159997720.004339,2031.99611575665,249,268
0.67,159997610.004559,2112.99584760247,264,270
0.68,159997500.004779,2220.99570071061,267,285
0.69,159997420.004899,2274.99543717662,287,292
0.7,159997310.005079,2409.99537741111,296,304
0.71,159997190.005319,2481.99512900319,309,313
0.72,159997060.005559,2580.99498356599,324,317
0.73,159996920.005739,2706.99469843967,339,328
0.74,159996800.005939,2823.99465741012,360,348
0.75,159996620.006259,2940.99442557391,377,357
0.76,159996470.006539,3102.99410301071,400,365
0.77,159996270.006899,3246.99391869975,418,383
0.78,159996170.007039,3417.99359611889,430,399
0.79,159996060.007179,3498.99354211842,445,420
0.8,159995890.007499,3606.99317058448,467,426
0.81,159995760.007719,3762.78552817903,492,435
0.82,159995580.008019,3903.99271842881,507,448
0.83,159995460.008179,4056.99255355462,523,482
0.84,159995240.008499,4158.77930364398,564,483
0.85,159994980.008939,4398.99198320287,591,492
0.86,159994770.009299,4596.99169236421,612,510
0.87,159994600.009539,4785.99136980955,635,529
0.88,159994410.009879,4920.99101627904,651,550
0.89,159994220.010239,5091.99076140468,683,561
0.9,159993910.010799,5307.99040140142,718,569
0.91,159993740.011119,5562.78242134352,742,585
0.92,159993510.011498,5712.98962885595,768,606
0.93,159993340.011758,5910.98921772986,804,612
0.94,159993030.012258,6126.98892757447,831,630
0.95,159992920.012418,6315.98870798214,855,639
0.96,159992760.012638,6477.98833501105,872,667
0.97,159992570.012918,6585.98839838951,903,669
0.98,159992380.013198,6801.9880585535,920,695
0.99,159992210.013418,6909.9878440256,955,704
1,159991980.013778,7110.77994383433,978,724
1.01,159991780.014058,7287.98735514134,1008,751
1.02,159991550.014458,7458.9870347335,1043,771
1.03,159991320.014858,7710.98658401501,1081,791
1.04,159990930.015418,7998.98618729619,1121,805
1.05,159990710.015758,8241.98567248052,1147,832
1.06,159990450.016058,8439.98556016965,1176,859
1.07,159990150.016538,8682.98511308606,1238,865
1.08,159989840.016978,8991.77717041091,1278,891
1.09,159989530.017458,9249.98416122362,1321,918
1.1,159989220.018058,9537.98355497283,1354,953
1.11,159988900.018578,9780.98326122351,1408,964
1.12,159988550.019037,10068.9826729726,1465,978
1.13,159988200.019577,10473.9822179515,1505,990
1.14,159987900.019997,10707.9821344541,1550,1012
1.15,159987530.020637,11016.7740888286,1600,1031
1.16,159987200.021137,11355.9810580355,1633,1063
1.17,159986880.021697,11616.9804193857,1691,1087
1.18,159986440.022557,11994.9798549361,1721,1129
1.19,159986070.023197,12291.9791421206,1770,1149
1.2,159985660.023877,12669.9783731504,1837,1170
1.21,159985210.024737,13047.9665615885,1891,1195
1.22,159984730.025497,13464.7693202413,1950,1219
1.23,159984360.025997,13902.9761994613,2012,1240
1.24,159983890.026756,14253.9758675418,2074,1266
1.25,159983450.027476,14661.7679169793,2137,1301
1.26,159983070.027956,15045.974748674,2196,1323
1.27,159982580.028756,15462.7662436653,2250,1356
1.28,159982220.029276,15792.9734055903,2302,1408
1.29,159981800.029836,16143.9729882996,2362,1451
1.3,159981380.030456,16569.7648642014,2428,1478
1.31,159980830.031296,16971.9718319857,2502,1499
1.32,159980370.032076,17451.7635473279,2555,1540
1.33,159980010.038897,17784.7629576376,2616,1581
1.34,159979470.033616,18186.9638032028,2696,1597
1.35,159978930.034476,18654.9690448289,2764,1645
1.36,159978440.035255,19158.968406899,2821,1696
1.37,159977920.042276,19608.9615531786,2893,1752
1.38,159977340.036995,20085.9662410665,2977,1788
1.39,159976700.037975,20625.9654469574,3058,1800
1.4,159976260.038715,21138.9644799995,3125,1851
1.41,159975690.039655,21615.9639119368,3219,1872
1.42,159975190.040375,22068.7560657718,3284,1930
1.43,159974690.041115,22524.9626980319,3367,1972
1.44,159974100.041875,23010.9618267907,3428,2029
1.45,159973560.042674,23496.9614718565,3523,2052
1.46,159973020.043434,23991.9608577398,3606,2108
1.47,159972260.044494,24540.959892176,3722,2161
1.48,159971670.045494,25242.9584829496,3816,2201
1.49,159971020.046434,25767.7503713151,3900,2232
1.5,159970330.047474,26277.9569711582,4009,2261
1.51,159969580.048574,26979.9505707837,4101,2320
1.52,159968970.049534,27522.7477094605,4194,2351
1.53,159968410.050293,28128.5392837034,4292,2407
1.54,159967840.050993,28647.7402128693,4387,2453
1.55,159967220.051933,29175.9531247804,4466,2524
1.56,159966540.059154,29751.8136755375,4563,2560
1.57,159965770.060334,30408.945271897,4673,2611
1.58,159965160.061194,31065.9442127758,4798,2620
1.59,159964440.062113,31704.9438175242,4900,2674
1.6,159963730.069394,32238.7294516918,5027,2695
1.61,159962930.070654,33024.5206507855,5126,2742
1.62,159962160.071794,33666.935077417,5248,2776
1.63,159961430.072914,34278.9224269687,5390,2793
1.64,159960800.073734,35010.7252605604,5490,2844
1.65,159959910.068873,35619.9323551466,5606,2881
1.66,159959150.069912,36357.9367876679,5719,2942
1.67,159958350.071062,37083.5262971676,5824,2985
1.68,159957600.072062,37746.5889533786,5955,3022
1.69,159956800.073162,38502.7258308913,6092,3055
1.7,159955950.074412,39174.8003828833,6230,3098
1.71,159955230.075372,39939.931318197,6324,3164
1.72,159954430.076432,40569.9307659938,6447,3217
1.73,159953590.077772,41238.7224748718,6615,3247
1.74,159952680.072851,42126.9337841939,6760,3291
1.75,159951940.07375,42873.9330000901,6899,3336
1.76,159951140.232927,43566.2488632669,7041,3368
1.77,159950190.234307,44379.5812577371,7184,3414
1.78,159949210.242127,45192.3720886487,7313,3501
1.79,159948200.243727,46086.7800879681,7440,3556
1.8,159947350.245047,46956.3637325243,7564,3630
1.81,159946320.246487,47733.7776551041,7739,3627
1.82,159945490.247507,48681.4211167894,7883,3672
1.83,159944560.261208,49425.7583281232,8044,3704
1.84,159943540.104532,50172.757915592,8194,3796
1.85,159942330.112692,51216.275426829,8384,3844
1.86,159941360.114172,52245.6887459832,8525,3923
1.87,159940300.115572,53136.6878950583,8691,3968
1.88,159939220.12354,54090.6863884268,8868,3999
1.89,159938170.12508,55088.8778362169,9050,4050
1.9,159937210.13288,56028.4591403597,9220,4107
1.91,159936140.140761,56994.8613795222,9384,4172
1.92,159934850.14276,57975.8704783422,9573,4248
1.93,159933732.09804,59020.778243082,9755,4312
1.94,159932532.1059,60094.6944495319,9968,4348
1.95,159931412.10742,61214.0204686225,10128,4445
1.96,159930342.266997,62302.9584340826,10288,4526
1.97,159929212.2685,63070.7502494901,10520,4548
1.98,159928002.27026,64165.8293538314,10709,4612
1.99,159926692.27242,65263.9492991083,10904,4683
2,159925412.280221,66400.1171758812,11109,4720
2.01,159924252.2817,67615.73839243,11267,4829
2.02,159923052.289717,68617.5179521676,11440,4905
2.03,159921842.297697,69628.3144834194,11640,4989
2.04,159920492.287256,70879.9404650123,11844,5082
2.05,159919092.295297,72013.9334756755,12081,5126
2.06,159917722.303477,73351.5159881088,12332,5171
2.07,159916452.311478,74539.5028214638,12543,5225
2.08,159915082.313237,75703.9110448283,12755,5296
2.09,159913582.309496,76933.4998404368,12991,5370
2.1,159912022.317597,78292.4981783398,13224,5430
2.11,159910712.319457,79639.6985967693,13423,5558
2.12,159909072.321897,80959.9096968345,13712,5588
2.13,159907782.323757,82306.4923273114,13902,5739
2.14,159906192.332377,83506.9059330851,14155,5815
2.15,159904712.334697,84967.678974694,14406,5848
2.16,159903212.336737,86326.5501136124,14598,5953
2.17,159901862.350978,87529.7559315471,14826,6033
2.18,159900332.353358,88957.459797808,15112,6062
2.19,159898732.362018,90373.8727441022,15342,6186
2.2,159897072.388981,91642.848773654,15613,6270
2.21,159895532.378379,93163.8470948373,15905,6298
2.22,159894052.380259,94471.6493022361,16131,6418
2.23,159892792.375738,95782.8493466605,16396,6453
2.24,159891072.536354,97036.5091953365,16676,6526
2.25,159889552.538494,98557.5067220794,16927,6616
2.26,159887732.540994,100123.498008275,17204,6697
2.27,159886002.568497,101704.075445929,17470,6797
2.28,159884212.577557,103189.684912328,17755,6866
2.29,159882422.580197,104802.719816437,18060,6940
2.3,159880602.582936,106486.461272264,18323,7070
2.31,159878682.4273,108103.813968292,18676,7144
2.32,159877092.423179,109741.812013491,18935,7262
2.33,159875102.426158,111259.400089842,19254,7360
2.34,159873532.434239,112996.39803534,19534,7474
2.35,159871792.424217,114391.395653147,19806,7596
2.36,159869912.420556,116062.607008683,20139,7687
2.37,159867962.423356,117805.817483201,20456,7775
2.38,159866152.425755,119563.607938554,20746,7905
2.39,159864302.446698,121096.381608298,21060,8010
2.4,159862142.449957,123004.377980087,21419,8059
2.41,159860412.452277,124789.526188448,21708,8183
2.42,159858392.455177,126265.789029118,22036,8273
2.43,159856402.464017,128086.578595309,22413,8353
2.44,159854384.559994,130150.220327092,22761,8407
2.45,159852334.563399,131783.547026454,23084,8516
2.46,159850394.566299,133595.468745841,23412,8619
2.47,159848294.569158,135410.050373027,23784,8664
2.48,159846064.578798,137402.457291848,24113,8764
2.49,159843974.575257,139340.869387497,24498,8844
2.5,159841964.590098,141110.468999292,24864,8910
2.51,159839854.605299,142979.375502766,25231,8998
2.52,159837524.766795,144914.489922647,25618,9037
2.53,159834994.770675,147161.077712315,25974,9163
2.54,159833034.773475,149240.702162464,26359,9229
2.55,159830694.777114,151118.284248799,26691,9356
2.56,159828514.779954,153185.483235616,27062,9462
2.57,159826344.789134,155120.475006529,27419,9569
2.58,159824124.804755,157091.454674178,27788,9678
2.59,159822224.812636,159008.325724997,28122,9814
2.6,159820054.809095,160754.440625603,28459,9935
2.61,159817924.811935,162701.246339114,28905,9945
2.62,159815384.815789,164741.445253805,29328,10042
2.63,159813104.930462,166936.825752415,29641,10234
2.64,159811055.044356,168893.137605803,30121,10262
2.65,159808565.042934,171017.028757688,30467,10401
2.66,159806305.039661,173114.030286355,30878,10479
2.67,159804065.167024,175078.676621474,31286,10574
2.68,159801495.077864,177235.759315514,31729,10669
2.69,159798875.081684,179698.462073391,32181,10748
