Time,External Nutrition,Internal Nutrition,Active Hyphal,Inactive Hyphal,Tip
0,156250,0.0156254796744221,1,0,14
1,156249.9999999,0.0156263324284955,1,0,14
2,156249.9999998,0.015627200175175,1,0,14
3,156249.999999699,0.015628080564571,1,0,14
4,156249.999999597,0.0156289766141863,1,0,14
5,156249.999999493,0.0156298939922675,1,0,14
6,156249.999999387,0.0156308393506677,1,0,14
7,156249.999999278,0.0156318193499565,1,0,14
8,156249.999999165,0.0156328401383887,1,0,14
9,156249.999999047,0.0156339071262039,1,0,14
10,156249.999998924,0.0156350249475761,1,0,14
11,156249.999998796,0.0156361975355712,1,0,14
12,156249.999998661,0.0156374282578095,1,0,14
13,156249.99999852,0.0156387200764404,1,0,14
14,156249.999998372,0.0156400757079181,1,0,14
15,156249.999998216,0.0156414977671917,1,0,14
16,156249.999998053,0.015642988887946,1,0,14
17,156249.999997883,0.0156445518157931,1,0,14
18,156249.999997703,0.0156461894750542,1,0,14
19,156249.999997516,0.0156479050121964,1,0,14
20,156249.999997319,0.0156497018203153,1,0,14
21,156249.999997113,0.0156515835495202,1,0,14
22,156249.999996897,0.0156535541079123,1,0,14
23,156249.999996671,0.015655617657275,1,0,14
24,156249.999996434,0.0156577786067942,1,0,14
25,156249.999996186,0.0156600416072636,1,0,14
26,156249.999995927,0.0156624115474007,1,0,14
27,156249.999995655,0.0156648935531833,1,0,14
28,156249.99999537,0.0156674929905481,1,0,14
29,156249.999995072,0.0156702154713813,1,0,14
30,156249.99999476,0.0156730668624684,1,0,14
31,156249.999994433,0.0156760532969342,1,0,14
32,156249.99999409,0.0156791811876649,1,0,14
33,156249.999993731,0.0156824572422371,1,0,14
34,156249.999993356,0.0156858884789541,1,0,14
35,156249.999992962,0.0156894822436855,1,0,14
36,156249.99999255,0.0156932462273052,1,0,14
37,156249.999992118,0.0156971884836187,1,0,14
38,156249.999991666,0.0157013174477443,1,0,14
39,156249.999991192,0.0157056419549752,1,0,14
40,156249.999990696,0.0157101712601883,1,0,14
41,156249.999990177,0.0157149150578938,1,0,14
42,156249.999989633,0.0157198835030294,1,0,14
43,156249.999989063,0.0157250872326048,1,0,14
44,156249.999988466,0.0157305373882998,1,0,14
45,156249.999987841,0.0157362456401089,1,0,14
46,156249.999987186,0.0157422242111177,1,0,14
47,156249.9999865,0.0157484859034854,1,0,14
48,156249.999985782,0.015755044125704,1,0,14
49,156249.99998503,0.0157619129211939,1,0,14
50,156249.999984242,0.0157691069982989,1,0,14
51,156249.999983417,0.0157766417617385,1,0,14
52,156249.999982553,0.0157845333455775,1,0,14
53,156249.999981647,0.0157927986477772,1,0,14
54,156249.999980699,0.0158014553663945,1,0,14
55,156249.999979706,0.0158105220375004,1,0,14
56,156249.999978666,0.015820018074894,1,0,14
57,156249.999977577,0.015829963811695,1,0,14
58,156249.999976436,0.0158403805439004,1,0,14
59,156249.999975242,0.0158512905759979,1,0,14
60,156249.99997399,0.0158627172687347,1,0,14
61,156249.999972679,0.0158746850891423,1,0,14
62,156249.999971307,0.0158872196629273,1,0,14
63,156249.999969869,0.0159003478293396,1,0,14
64,156249.999968363,0.0159140976986373,1,0,14
65,156249.999966786,0.0159284987122712,1,0,14
66,156249.999965134,0.0159435817059199,1,0,14
67,156249.999963404,0.015959378975509,1,0,14
68,156249.999961592,0.0159759243463572,1,0,14
69,156249.999959694,0.0159932532455978,1,0,14
70,156249.999957707,0.0160114027780293,1,0,14
71,156249.999955625,0.0160304118055588,1,0,14
72,156249.999953445,0.0160503210304077,1,0,14
73,156249.999951161,0.0160711730822573,1,0,14
74,156249.999948769,0.0160930126095217,1,0,14
75,156249.999946264,0.0161158863749416,1,0,14
76,156249.99994364,0.0161398433557062,1,0,14
77,156249.999940893,0.016164934848314,1,0,14
78,156249.999938014,0.0161912145784003,1,0,14
79,156249.999935,0.016218738815764,1,0,14
80,156249.999931843,0.0162475664948405,1,0,14
81,156249.999928536,0.0162777593408799,1,0,14
82,156249.999925073,0.0163093820020981,1,0,14
83,156249.999921446,0.016342502188086,1,0,14
84,156249.999917647,0.0163771908147708,1,0,14
85,156249.999913668,0.0164135221562424,1,0,14
86,156249.999909501,0.0164515740037663,1,0,14
87,156249.999905136,0.0164914278323271,1,0,14
88,156249.999900565,0.0165331689750551,1,0,14
89,156249.999895777,0.0165768868059128,1,0,14
90,156249.999890763,0.0166226749310299,1,0,14
91,156249.999885511,0.0166706313890964,1,0,14
92,156249.99988001,0.0167208588612439,1,0,14
93,156249.999874249,0.0167734648908626,1,0,14
94,156249.999868215,0.0168285621138251,1,0,14
95,156249.999861895,0.0168862684996093,1,0,14
96,156249.999855276,0.0169467076038356,1,0,14
97,156249.999848344,0.0170100088327605,1,0,14
98,156249.999841083,0.0170763077202896,1,0,14
99,156249.999833478,0.0171457462181046,1,0,14
100,156249.999825513,0.017218472999524,1,0,14
101,156249.999817172,0.0172946437777478,1,0,14
102,156249.999808435,0.0173744216391652,1,0,14
103,156249.999799284,0.0174579773924409,1,0,14
104,156249.9997897,0.0175454899341235,1,0,14
105,156249.999779662,0.0176371466315595,1,0,14
106,156249.999769149,0.0177331437239308,1,0,14
107,156249.999758138,0.0178336867422734,1,0,14
108,156249.999746605,0.0179389909493747,1,0,14
109,156249.999734527,0.0180492818004902,1,0,14
