Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
0,1451069.94163065,0.128000000000107,1,14
0.01,1451059.94165065,0.127999999998107,2,15
0.02,1451059.94165065,9.12798199994698,3,14
0.03,1451049.94167065,18.1279640000579,3,16
0.04,1451049.94167065,18.1279640000539,4,15
0.05,1451039.94169065,27.1279460000574,4,17
0.06,1451039.94169065,27.1279460000554,4,18
0.07,1451029.94171065,27.1279460000534,5,19
0.08,1451009.94175065,36.1279279998238,8,18
0.09,1450999.94177065,63.12785671827,8,20
0.1,1450952.56814211,63.1278739998002,11,22
0.11,1450865.168572,175.423770786348,13,21
0.12,1450855.168592,193.423734786346,13,23
0.13,1450855.168592,193.423734786344,13,23
0.14,1450855.168592,193.423734786344,13,24
0.15,1450855.168592,193.42373478634,15,23
0.16,1450845.168592,202.423734786299,15,26
0.17,1450825.168632,202.423734786291,17,29
0.18,1450805.168672,220.423681504747,19,28
0.19,1450795.168692,238.423628223209,20,31
0.2,1450775.168732,247.423644786277,23,31
0.21,1450765.168752,274.423573504732,23,35
0.22,1450755.168772,274.423590786263,24,38
0.23,1450745.168792,283.423520941644,26,40
0.24,1450715.168852,301.423484941636,29,45
0.25,1450665.168952,328.423465504692,33,47
0.26,1450635.169012,373.423392786206,38,52
0.27,1450595.169092,409.423320786192,40,53
0.28,1450565.169152,427.42328478618,43,56
0.29,1450555.169172,454.423213504638,44,58
0.3,1450535.169212,463.423212786162,46,65
0.31,1450505.169272,481.423159504612,49,67
0.32,1450485.169312,517.423018378445,52,72
0.33,1450455.169352,535.423034223042,55,75
0.34,1450425.169412,562.422946378385,59,76
0.35,1450307.7913013,589.422978786048,65,77
0.36,1450247.7914213,704.063243136494,71,81
0.37,1450207.7915013,749.063153854897,75,83
0.38,1450157.7916013,785.063081136419,79,91
0.39,1450107.7916813,821.062991854858,84,91
0.4,1450067.7917613,875.062867291728,89,95
0.41,1450017.7918613,902.062882417851,95,99
0.42,1449967.7919613,956.062705291682,100,107
0.43,1449937.7920213,1001.06268441781,103,112
0.44,1449927.7920413,1028.0626131419,103,125
0.45,1449897.7920613,1037.06259586031,113,125
0.46,1449807.7922413,1100.06252242367,116,137
0.47,1449694.02364174,1145.06231217165,127,138
0.48,1449634.02376174,1265.45408418812,133,142
0.49,1449491.86602678,1319.45402875112,141,149
0.5,1449451.86606678,1429.39599165245,145,156
0.51,1449401.86614678,1465.39598949697,154,164
0.52,1449230.26898256,1537.39565611847,164,175
0.53,1449180.26908256,1673.83322632538,170,186
0.54,1449090.26926256,1718.83317088843,177,192
0.55,1449060.26930256,1781.8330276084,188,196
