Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
0,1280000,0.128000000000107,1,14
0.01,1279990.00002,0.127999999998107,2,15
0.02,1279990.00002,9.12798199994698,3,14
0.03,1279980.00004,18.1279640000579,3,16
0.04,1279980.00004,18.1279640000539,4,15
0.05,1279970.00006,27.1279460000574,4,17
0.06,1279970.00006,27.1279460000554,4,18
0.07,1279960.00008,27.1279460000534,5,19
0.08,1279940.00012,36.1279279998238,8,18
0.09,1279930.00014,63.12785671827,8,20
0.1,1279910.00018,63.1278739998002,11,22
0.11,1279890.00022,90.1278199997999,13,21
0.12,1279880.00024,108.127766718261,13,23
0.13,1279880.00024,108.127783999795,13,23
0.14,1279880.00024,108.127783999795,13,24
0.15,1279880.00024,108.127783999791,15,23
0.16,1279870.00024,117.12778399974,15,26
0.17,1279850.00028,117.127732155123,17,29
0.18,1279830.00032,135.127730718188,19,28
0.19,1279820.00034,153.12767743665,20,31
0.2,1279800.00038,162.127693999717,23,31
0.21,1279790.0004,189.127622718173,23,35
0.22,1279780.00042,189.127639999703,24,38
0.23,1279770.00044,198.127604718157,26,40
0.24,1279740.0005,216.127551436613,29,45
0.25,1279690.0006,243.127514718133,33,47
0.26,1279660.00066,288.127441999647,38,52
0.27,1279620.00074,324.127369999633,40,53
0.28,1279590.0008,342.127333999621,43,56
0.29,1279580.00082,369.127262718079,44,58
0.3,1279560.00086,378.127261999603,46,65
0.31,1279530.00092,396.127191436517,49,67
0.32,1279510.00096,432.12705031035,52,72
0.33,1279480.001,450.127100718019,55,75
0.34,1279450.00106,477.127012873362,59,76
0.35,1279400.00116,504.127027999489,65,77
0.36,1279340.00128,558.126919999465,71,81
0.37,1279300.00136,603.126813436331,75,83
0.38,1279250.00146,639.126740717854,79,91
0.39,1279200.00154,675.126651436293,84,91
0.4,1279160.00162,722.919016934131,89,95
0.41,1279110.00172,756.126541999285,95,99
0.42,1279060.00182,810.12634759158,100,107
0.43,1279030.00188,855.126343999243,103,112
0.44,1279020.0019,882.126272717687,103,125
0.45,1278990.00192,891.126272717619,113,125
0.46,1278900.0021,954.126181999091,116,137
0.47,1278830.00222,999.125989028264,127,138
0.48,1278770.00234,1080.12593072346,133,142
0.49,1278700.00246,1134.12582344188,141,149
0.5,1278660.0025,1179.12566503448,145,156
0.51,1278610.00258,1215.12564559748,154,164
0.52,1278500.00278,1287.12550231588,164,175
0.53,1278450.00288,1368.12528918997,170,186
0.54,1278360.00306001,1413.12523375302,177,192
0.55,1278330.00310001,1476.12512503608,188,196
0.56,1278240.00328001,1566.12501488062,191,207
0.57,1278180.00340001,1593.12499544214,195,220
0.58,1278080.00360001,1647.12485287902,209,228
0.59,1277990.00380001,1755.12458503437,214,238
0.6,1277920.00394001,1811.91703478453,222,248
0.61,1277810.00414001,1899.12434959757,245,258
0.62,1277670.00440001,2052.12397446146,252,273
0.63,1277590.00456001,2115.12381389691,256,285
0.64,1277440.00486001,2216.91624349095,274,296
0.65,1277380.00496001,2322.12340061448,282,309
0.66,1277280.00516001,2421.12334086641,290,325
0.67,1277140.00542001,2511.12304061394,314,341
0.68,1276990.00572001,2648.91529451944,322,359
0.69,1276890.00582001,2727.12264533362,339,376
0.7,1276700.00618001,2871.1225315836,357,392
0.71,1276620.00632001,3015.122278865,378,403
0.72,1276490.00650001,3123.12213486471,390,424
0.73,1276350.00672001,3213.12197430149,410,441
0.74,1276170.00704001,3339.1217071751,430,459
0.75,1275960.00746001,3519.12138173811,445,482
0.76,1275820.00776001,3681.12109230262,460,508
0.77,1275550.00820001,3825.12061492431,493,519
0.78,1275310.00862001,4077.12021820491,523,540
0.79,1275060.00904001,4266.12001447671,557,554
0.8,1274810.00952002,4545.11933909946,589,572
0.81,1274580.00986002,4788.11885453739,624,598
0.82,1274280.01038002,5013.11856294496,653,626
0.83,1274080.01074002,5229.11822166575,684,644
0.84,1273740.01132002,5472.11771838208,714,687
0.85,1273470.01182002,5706.1173583818,756,706
